nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire AUDIERNE;4 Place de la Liberté, 29770 Audierne;29770;;;Crédit Agricole - Finistere
Agence bancaire BANNALEC;4-6, rue Nationale, 29380 BANNALEC;29380;;;Crédit Agricole - Finistere
Agence bancaire BENODET;110, avenue de la Plage, 29950 BENODET;29950;;;Crédit Agricole - Finistere
Agence bancaire BOURG BLANC;Place de l Étang, 29860 Bourg-Blanc;29860;;;Crédit Agricole - Finistere
Agence bancaire BREST AGENCE PROFESSIONNELS ET PATRIMOINE;43 Rue Jean Marie le Bris - Port de commerce, 29200 Brest;29200;48,38425429999999;-4,4824575;Crédit Agricole - Finistere
Agence bancaire BREST BELLEVUE;18, Place Napoléon III, 29200 BREST;29200;48,404473;-4,508079;Crédit Agricole - Finistere
Agence bancaire BREST CLEMENCEAU;13 Avenue Georges Clemenceau, 29200 BREST;29200;48,3888237;-4,4836963;Crédit Agricole - Finistere
Agence bancaire BREST JAURES;36, rue Jean-Jaurès, 29200 BREST;29200;48,392408;-4,482974;Crédit Agricole - Finistere
Agence bancaire BREST KERINOU;Halles de Kérinou, 29200 BREST;29200;48,402216;-4,489439;Crédit Agricole - Finistere
Agence bancaire BREST LAMBEZELLEC;8, place des FFI, 29200 BREST;29200;48,415438;-4,492661;Crédit Agricole - Finistere
Agence bancaire BREST PILIER ROUGE;237, rue Jean Jaurès, 29200 BREST;29200;48,400062;-4,470771;Crédit Agricole - Finistere
Agence bancaire BREST PONT NEUF;Centre commercial, Rue de Paris, 29200 Brest;29200;48,4067394;-4,460803299999999;Crédit Agricole - Finistere
Agence bancaire BREST QUATRE MOULINS;207 Rue Anatole France, 29200 Brest;29200;48,3826721;-4,5154489;Crédit Agricole - Finistere
Agence bancaire BREST RIVE DROITE;50-52, rue de la Porte, 29200 BREST;29200;48,383942;-4,502125;Crédit Agricole - Finistere
Agence bancaire BREST SAINT PIERRE;34, rue Victor Eusen, 29200 BREST;29200;48,379749;-4,535164;Crédit Agricole - Finistere
Agence bancaire BREST SAINT-MARC;1, place Simon, 29200 BREST;29200;48,398349;-4,454558;Crédit Agricole - Finistere
Agence bancaire BREST SIAM;85, rue de Siam, 29200 BREST;29200;48,38835;-4,488588;Crédit Agricole - Finistere
Agence bancaire BRIEC DE L ODET;70, rue du Général de Gaulle, 29510 BRIEC DE L ODET;29510;;;Crédit Agricole - Finistere
Agence bancaire CAMARET-SUR-MER;Place Charles de Gaulle, 29570 CAMARET-SUR-MER;29570;;;Crédit Agricole - Finistere
Agence bancaire CARANTEC;13, rue Albert Louppe, 29660 CARANTEC;29660;;;Crédit Agricole - Finistere
Agence bancaire CARHAIX PLOUGUER;14 Rue des Martyrs, 29270 Carhaix-Plouguer;29270;;;Crédit Agricole - Finistere
Agence bancaire CHATEAULIN;13, quai Jean Moulin, 29150 CHATEAULIN;29150;48,1959556;-4,0929474;Crédit Agricole - Finistere
Agence bancaire CHATEAULIN AGENCE PATRIMOINE ET PROFESSIONNELS;13, quai Jean Moulin, 29150 CHATEAULIN;29150;48,1959556;-4,0929474;Crédit Agricole - Finistere
Agence bancaire CHATEAUNEUF DU FAOU (EN TRAVAUX);2, rue du Général de Gaulle - BP 43, 29520 CHATEAUNEUF-DU-FAOU;29520;48,1930165;-3,8198708;Crédit Agricole - Finistere
Agence bancaire CHATEAUNEUF DU FAOU AGENCE PATRIMOINE ET PROFESSIONNELS;2, rue du Général de Gaulle, 29520 CHATEAUNEUF-DU-FAOU;29520;48,1930165;-3,8198708;Crédit Agricole - Finistere
Agence bancaire CLEDER;10, rue de l Armorique, 29233 CLEDER;29233;;;Crédit Agricole - Finistere
Agence bancaire CLOHARS-CARNOET;3, rue de Lannevain, 29360 CLOHARS-CARNOET;29360;;;Crédit Agricole - Finistere
Agence bancaire CONCARNEAU CENTRE;13, place du Général de Gaulle, 29185 CONCARNEAU;29185;47,8721242;-3,919069;Crédit Agricole - Finistere
Agence bancaire CONCARNEAU LE ROUZ;2, rue du Rouz - BP 534, 29185 CONCARNEAU;29185;47,8698097;-3,9062409;Crédit Agricole - Finistere
Agence bancaire CORAY;4, rue Grégoire Le Cam, 29370 CORAY;29370;;;Crédit Agricole - Finistere
Agence bancaire CROZON;Place de l Hotel de Ville, 29160 CROZON;29160;;;Crédit Agricole - Finistere
Agence bancaire DAOULAS;19, route de Quimper, 29460 DAOULAS;29460;;;Crédit Agricole - Finistere
Agence bancaire DOUARNENEZ;8, rue Duguay Trouin - BP 443, 29174 DOUARNENEZ;29174;;;Crédit Agricole - Finistere
Agence bancaire ERGUE GABERIC;Zac De La Salle Verte, 29500 Ergué-Gabéric;29500;;;Crédit Agricole - Finistere
Agence bancaire FOUESNANT;4 Rue ar Mor, 29170 Fouesnant;29170;;;Crédit Agricole - Finistere
Agence bancaire GOUESNOU;1, rue de la Gare, 29850 GOUESNOU;29850;;;Crédit Agricole - Finistere
Agence bancaire GUILERS;Place de la Libération, 29820 GUILERS;29820;;;Crédit Agricole - Finistere
Agence bancaire GUIPAVAS;7, rue de Paris, 29490 GUIPAVAS;29490;;;Crédit Agricole - Finistere
Agence bancaire HUELGOAT;14, rue des Cendres, 29690 HUELGOAT;29690;;;Crédit Agricole - Finistere
Agence bancaire ILE D OUESSANT;Place de l Église, 29242 ILE D OUESSANT;29242;;;Crédit Agricole - Finistere
Agence bancaire ILE DE SEIN;17, quai des Paimpolais, 29990 ILE DE SEIN;29990;;;Crédit Agricole - Finistere
Agence bancaire KERLOUAN;11 bis, rue de la Côte des Légendes, 29890 KERLOUAN;29890;;;Crédit Agricole - Finistere
Agence bancaire LA TRINITE-PLOUZANE (EN TRAVAUX, LOCAUX PROVISOIRE;4, place du Commerce, 29280 LA TRINITE-PLOUZANE;29280;;;Crédit Agricole - Finistere
Agence bancaire LANDERNEAU;3, rue Alain Daniel, 29800 LANDERNEAU;29800;;;Crédit Agricole - Finistere
Agence bancaire LANMEUR (EN TRAVAUX);Les Quatre Vents - BP 2, 29620 LANMEUR;29620;;;Crédit Agricole - Finistere
Agence bancaire LANNILIS;2, rue Audren de Kerdrel - BP 12, 29870 LANNILIS;29870;;;Crédit Agricole - Finistere
Agence bancaire LE CONQUET;Place de Llandeilo, 29217 Le Conquet;29217;;;Crédit Agricole - Finistere
Agence bancaire LE FAOU;5, place Saint Joseph, 29580 LE FAOU;29580;;;Crédit Agricole - Finistere
Agence bancaire LE FOLGOET;3, rue de l Oratoire, 29260 LE FOLGOET;29260;;;Crédit Agricole - Finistere
Agence bancaire LE GUILVINEC;24, rue de la Marine, 29730 LE GUILVINEC;29730;;;Crédit Agricole - Finistere
Agence bancaire LE RELECQ-KERHUON;3 Place du 8 Mai 1945, 29480 Le Relecq-Kerhuon;29480;;;Crédit Agricole - Finistere
Agence bancaire LESNEVEN;5, rue de la Marne - BP 3, 29260 LESNEVEN;29260;;;Crédit Agricole - Finistere
Agence bancaire LOCTUDY;23, rue Sébastien Guiziou, 29750 LOCTUDY;29750;;;Crédit Agricole - Finistere
Agence bancaire MOELAN-SUR-MER;1, ter rue des Plages, 29350 MOELAN-SUR-MER;29350;;;Crédit Agricole - Finistere
Agence bancaire MORLAIX AGENCE PATRIMOINE ET PROFESSIONNELS;4, Rue Straja, 29600 MORLAIX;29600;48,5875649;-3,8137556;Crédit Agricole - Finistere
Agence bancaire MORLAIX CARNOT;6, rue Carnot, 29600 MORLAIX;29600;48,5769612;-3,8275668;Crédit Agricole - Finistere
Agence bancaire PLABENNEC;14, square Pierre Corneille - BP 1, 29860 PLABENNEC;29860;;;Crédit Agricole - Finistere
Agence bancaire PLEYBEN;25, place du Général de Gaulle - BP 6, 29190 PLEYBEN;29190;;;Crédit Agricole - Finistere
Agence bancaire PLEYBER-CHRIST;72 Rue de la République, 29410 Pleyber-Christ;29410;;;Crédit Agricole - Finistere
Agence bancaire PLOGONNEC;Rue Pont Péronic, 29180 PLOGONNEC;29180;;;Crédit Agricole - Finistere
Agence bancaire PLONEOUR-LANVERN (EN TRAVAUX);9, place Victor Hugo - BP5, 29720 PLONEOUR-LANVERN;29720;;;Crédit Agricole - Finistere
